="",="(1)",="(2)",="(3)",="(4)"
="",="logcase",="logcase",="case",="case"

="Wheat suitability (irrigated)*log(price)",="0.3615***",="0.4194***",="0.8424***",="0.9015***"
="",="(0.0559)",="(0.0416)",="(0.1123)",="(0.1528)"

="Wheat suitability (rainfed)*log(price)",="-0.4586***",="-0.5073***",="-1.0452***",="-1.1351***"
="",="(0.0624)",="(0.0787)",="(0.1150)",="(0.2292)"

="Oats suitability (irrigated)*log(price)",="-1.1469**",="-1.0469**",="-1.1037",="-0.8641"
="",="(0.4561)",="(0.4703)",="(1.3250)",="(1.1997)"

="Oats suitability (rainfed)*log(price)",="1.1994**",="1.0821**",="1.1997",="0.9305"
="",="(0.4663)",="(0.4814)",="(1.3169)",="(1.1868)"

="Soybean suitability (irrigated)*log(price)",="0.0141",="-0.0369",="-0.0099",="-0.2712"
="",="(0.0413)",="(0.0505)",="(0.0807)",="(0.1762)"

="Soybean suitability (rainfed)*log(price)",="-0.0503",="-0.0060",="-0.0261",="0.1430"
="",="(0.0363)",="(0.0486)",="(0.0727)",="(0.1498)"

="Coffee suitability (irrigated)*log(price)",="-0.0066",="-0.0395",="-0.0464",="-0.1558*"
="",="(0.0322)",="(0.0253)",="(0.0725)",="(0.0814)"

="Coffee suitability (rainfed)*log(price)",="0.0351",="0.0346",="0.0505",="0.1305"
="",="(0.0303)",="(0.0367)",="(0.0773)",="(0.0901)"

="Cotton suitability (irrigated)*log(price)",="-0.1464",="0.0074",="-0.1587",="0.2138"
="",="(0.0913)",="(0.1427)",="(0.2316)",="(0.4009)"

="Cotton suitability (rainfed)*log(price)",="0.1020",="0.0047",="0.1507",="-0.1157"
="",="(0.0839)",="(0.1166)",="(0.2044)",="(0.3195)"

="Tree Coverage (in 2000))*log(price)",="-0.0720**",="-0.0278",="-0.1361",="-0.0803"
="",="(0.0334)",="(0.0354)",="(0.0894)",="(0.1104)"

="Observations",="96026",="96026",="96026",="96026"
="R2",="0.202",="0.258",="0.125",="0.152"
="Controls",="NO",="NO",="YES",="YES"
="Mun FE",="",="",="",=""
="Year FE",="",="",="",=""
="State linear time trend",="",="",="",=""
="mean(outcome)",="",="",="",=""
